TAPA,ANU,V. C. Bird International Airport,17.1367,-61.7927
TAPH,BBQ,Barbuda Codrington Airport,17.6358,-61.8286
TBPB,BGI,Grantley Adams International Airport,13.0746,-59.4925
TDCF,DCF,Canefield Airport,15.3367,-61.3922
TDPD,DOM,Douglas-Charles Airport,15.547,-61.3
TFFA,DSD,La Desirade Airport (Grande-Anse Airport),16.2969,-61.0844
TFFB,BBR,Baillif Airport,16.0133,-61.7422
TFFC,SFC,Saint-Francois Airport,16.2578,-61.2625
TFFF,FDF,Martinique Aime Cesaire International Airport,14.591,-61.0032
TFFG,SFG,L'Esperance Airport (Grand Case Airport),18.0999,-63.0472
TFFJ,SBH,Gustaf III Airport,17.9044,-62.8436
TFFM,GBJ,Marie-Galante Airport (Les Bases),15.8687,-61.27
TFFR,PTP,Pointe-a-Pitre International Airport (Le Raizet Airport),16.2653,-61.5318
TFFS,LSS,Les Saintes Airport,15.8644,-61.5806
TGPY,GND,Maurice Bishop International Airport,12.0042,-61.7862
TIST,STT,Cyril E. King Airport,18.3373,-64.9734
TISX,STX,Henry E. Rohlsen Airport,17.7019,-64.7986
TJAB,ARE,Antonio (Nery) Juarbe Pol Airport,18.45,-66.6753
TJBQ,BQN,Rafael Hernandez Airport,18.4949,-67.1294
TJCP,CPX,Benjamin Rivera Noriega Airport,18.3133,-65.3043
TJFA,FAJ,Diego Jimenez Torres Airport,18.3089,-65.6619
TJIG,SIG,Fernando Luis Ribas Dominicci Airport,18.4568,-66.0981
TJMZ,MAZ,Eugenio Maria de Hostos Airport,18.2557,-67.1485
TJPS,PSE,Mercedita Airport,18.0083,-66.563
TJRV,NRR,Jose Aponte de la Torre Airport,18.2453,-65.6434
TJSJ,SJU,Luis Munoz Marin International Airport,18.4394,-66.0018
TJVQ,VQS,Antonio Rivera Rodriguez Airport,18.1348,-65.4936
TKPK,SKB,Robert L. Bradshaw International Airport,17.3112,-62.7187
TKPN,NEV,Vance W. Amory International Airport,17.2057,-62.5899
TLPC,SLU,George F. L. Charles Airport,14.0202,-60.9929
TLPL,UVF,Hewanorra International Airport,13.7332,-60.9526
TNCA,AUA,Queen Beatrix International Airport,12.5014,-70.0152
TNCB,BON,Flamingo International Airport,12.131,-68.2685
TNCC,CUR,Curacao International Airport (Hato Int'l Airport),12.1889,-68.9598
TNCE,EUX,F. D. Roosevelt Airport,17.4965,-62.9794
TNCM,SXM,Princess Juliana International Airport,18.041,-63.1089
TNCS,SAB,Juancho E. Yrausquin Airport,17.645,-63.22
TQPF,AXA,Clayton J. Lloyd International Airport,18.2048,-63.0551
TRPG,MNI,John A. Osborne Airport,16.7914,-62.1933
TTCP,TAB,Arthur Napoleon Raymond Robinson International Airport,11.1497,-60.8322
TTPP,POS,Piarco International Airport,10.5954,-61.3372
TUPA,NGD,Auguste George Airport,18.7272,-64.3297
TUPJ,EIS,Terrance B. Lettsome International Airport,18.4448,-64.543
TUPW,VIJ,Virgin Gorda Airport,18.4464,-64.4275
TVSA,SVD,Argyle International Airport,13.1443,-61.2109
TVSB,BQU,J. F. Mitchell Airport,12.9884,-61.262
TVSC,CIW,Canouan Airport,12.699,-61.3424
TVSM,MQS,Mustique Airport,12.8879,-61.1802
TVSU,UNI,Union Island Airport,12.6001,-61.4119
TXKF,BDA,L.F. Wade International Airport,32.364,-64.6787
